id,target
07e6f885-e8de-447d-95ac-e66639ab730a.png,0
51a13bb0-a960-49a3-a044-5a48ecee9cc1.png,0
5fe0735a-acfb-42aa-937b-065361a587ab.png,1
3fb4b21d-b1a5-416f-b9ab-f4a616803dda.png,0
23b755fe-7aa9-4804-84a4-60dd765d8418.png,1
53161aa7-8480-4615-bfd7-fd83ed8ddf76.png,0
d2dbce9d-88f0-4793-86be-337efdabdea0.png,0
15a7118c-2690-405c-9abb-f335cc79c894.png,0
9b3b7a75-7515-4b40-9ca1-9aee4a7f9f69.png,0
fec7b84a-0b30-400f-93bf-8968343e51a4.png,0
6ea27787-60bb-4b68-a202-a56e9659de4b.png,0
72693d10-0351-4d20-b0bb-e96b9ad58886.png,0
75303870-63e4-411d-a899-543b21a77982.png,1
826a265e-f69b-4274-ad73-87fc05200ea2.png,0
f1f08399-3008-4300-96ee-c6316ad93d20.png,0
f5d52a48-ce1e-47cf-90ff-d385ced29fa6.png,1
1f37b9c9-9145-4c03-9d8b-5b532e2970c8.png,0
f971629d-e334-4473-bbb8-a453e8f4a1f5.png,0
21f0de4b-6534-4a6d-846f-12ec11454847.png,0
1abddfb5-af2a-48b0-8a66-ff6e549d0934.png,0
65677312-3476-40a7-b76c-cb34e42a2ae7.png,0
f83b0a46-4095-4051-9beb-721d4b3e46fc.png,0
19e2278f-d698-4c3e-9b65-ef6ea529c665.png,0
edef2a2e-f027-4af0-b912-e7f6e3ba7ae8.png,0
a6c5b4bd-58b0-4b95-af7f-185c55aeaf7e.png,1
393cd95b-4a01-448a-a090-95144db682f3.png,0
6538ea6d-88a6-4f3c-90c4-c3d03d771b63.png,1
24c8eadb-03a9-476f-a765-5eea47d55722.png,1
37d111a1-7f72-481f-bd80-20e8748ce764.png,1
65f5c59c-7e3f-40a9-9332-d1d53928129b.png,1
cc5de601-4825-4a8a-a2a9-92d9ac3433dd.png,0
a7770211-c7ce-4008-959c-2e1447862492.png,1
cc8a0c78-c3bf-4b7d-a82a-dc748faad5ac.png,0
6a611fbc-5fc6-4720-9294-3e772c476044.png,1
b520b6ae-e6dc-43fb-8fac-49a6432306c1.png,0
9d94b0de-097f-44fb-9e5b-da5966797663.png,0
d2ea77ac-e606-4f65-a819-cdeccd67fe86.png,1
20ebf3f7-a76b-48bc-95ef-a941c8bf10fb.png,1
cad0f2e8-72a8-4862-b937-7a44fed8d04c.png,1
7e21c476-adf0-4d23-9bfc-840ff5fbb76f.png,1
7d926fc0-68d4-4b65-8fa7-a5a663d25472.png,1
eabd4ff7-5217-47a0-b329-4b444c64f58e.png,1
3d6eb63c-9009-4e40-ab23-8b58fe38f627.png,1
ed7e46f8-853e-40f0-8feb-c77474e3cc2b.png,1
7a123df9-5c5a-49c5-8c5e-3b640e86400f.png,0
2141af71-823a-4ee5-986e-ed713267e594.png,1
1c206feb-7752-4fc7-9aea-5813711add44.png,1
